customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00017,Female,0,No,Yes,60,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,68.69,4128.5,No
CUST-00018,Female,0,No,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),28.19,512.73,No
CUST-00019,Female,1,No,No,67,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),66.23,4443.18,No
CUST-00020,Male,0,Yes,Yes,17,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),69.17,1168.3,No
CUST-00021,Female,1,No,No,34,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,51.01,1729.44,No
CUST-00022,Male,0,No,Yes,30,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),44.06,1326.24,Yes
CUST-00023,Female,0,Yes,No,19,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,27.68,522.72,No
CUST-00024,Female,1,No,Yes,9,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,54.89,492.69,No
CUST-00025,Female,0,No,No,40,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,47.21,1891.54,No
CUST-00026,Female,0,No,No,44,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,47.92,2115.02,No
CUST-00027,Female,0,No,Yes,59,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,No,Electronic check,46.82,2765.65,No
CUST-00028,Female,0,No,No,25,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,55.01,1363.79,No
CUST-00029,Female,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Mailed check,56.8,4027.86,No
CUST-00030,Female,0,No,No,53,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,48.72,2584.92,No
CUST-00031,Male,0,Yes,No,48,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,49.26,2369.82,No
CUST-00032,Male,0,Yes,Yes,71,Yes,No,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),36.03,2565.49,No
CUST-00033,Female,0,No,No,53,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),34.31,1811.68,No
CUST-00034,Female,0,Yes,Yes,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,25.84,1271.86,No
CUST-00035,Female,0,No,No,43,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),71.03,3052.63,No
CUST-00036,Male,0,Yes,No,19,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),33.46,630.4,Yes
CUST-00037,Female,1,No,No,66,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,38.33,2533.67,No
CUST-00038,Male,0,Yes,No,34,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,63.25,2150.99,No
CUST-00039,Male,1,No,No,54,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,53.62,2896.48,Yes
CUST-00040,Male,0,Yes,No,1,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),41.53,33.97,Yes
CUST-00041,Male,0,Yes,No,55,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),64.01,3521.21,Yes
CUST-00042,Male,0,No,Yes,15,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,No,Mailed check,61.22,912.22,No
CUST-00043,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),50.48,760.8,No
CUST-00044,Female,0,Yes,Yes,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),28.16,650.61,No
CUST-00045,Female,0,Yes,Yes,66,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),42.53,2802.19,No
CUST-00046,Female,0,No,No,46,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,25.74,1187.26,No
CUST-00047,Female,1,Yes,No,9,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),53.68,489.69,No
CUST-00048,Male,0,No,No,66,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),45.29,2988.1,No
CUST-00049,Female,0,Yes,No,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),21.4,1416.46,Yes
CUST-00050,Female,0,Yes,No,18,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),64.73,1168.3,Yes
CUST-00051,Male,0,No,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,31.66,539.55,Yes
CUST-00052,Female,0,No,Yes,72,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,48.5,3489.64,No
CUST-00053,Male,0,No,No,34,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,61.07,2066.3,Yes
CUST-00054,Female,1,Yes,No,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,32.07,2208.82,No
CUST-00055,Male,0,Yes,No,64,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,43.94,2809.74,No
CUST-00056,Female,0,Yes,No,44,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),56.23,2471.0,No
CUST-00057,Female,0,No,No,29,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,62.02,1806.57,No
CUST-00058,Male,0,Yes,No,62,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,53.59,3326.54,No
CUST-00059,Male,0,Yes,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.29,391.23,No
CUST-00060,Male,0,No,No,52,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Electronic check,52.68,2739.61,No
CUST-00061,Male,0,Yes,No,2,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Credit card (automatic),52.81,107.16,No
CUST-00062,Male,0,Yes,Yes,61,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Credit card (automatic),55.59,3384.53,Yes
CUST-00063,Male,0,No,Yes,4,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),73.09,288.09,Yes
CUST-00064,Male,0,No,Yes,52,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),41.86,2180.71,Yes
CUST-00065,Male,0,No,No,41,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Electronic check,54.08,2217.19,No
CUST-00066,Female,0,No,No,52,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Two year,Yes,Mailed check,40.78,2119.55,No
CUST-00067,Female,0,No,No,31,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),47.31,1465.13,No
CUST-00068,Male,1,No,Yes,26,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,One year,No,Electronic check,41.29,1076.84,No
CUST-00069,Female,1,No,No,27,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),56.99,1544.79,No
CUST-00070,Female,0,No,No,51,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,67.16,3426.79,No
CUST-00071,Female,0,No,No,48,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),65.09,3128.79,No
CUST-00072,Female,0,Yes,No,11,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),74.57,815.15,No
CUST-00073,Male,0,No,No,8,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),44.99,361.49,No
CUST-00074,Female,1,No,Yes,12,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,45.59,550.4,No
CUST-00075,Male,0,Yes,Yes,45,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),43.69,1962.59,No
CUST-00076,Female,1,No,Yes,34,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Electronic check,60.16,2047.03,No
CUST-00077,Female,1,Yes,No,72,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,46.0,3313.45,Yes
CUST-00078,Female,0,Yes,Yes,47,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Electronic check,66.1,3100.96,No
CUST-00079,Male,0,No,No,21,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,67.86,1424.33,No
CUST-00080,Female,0,Yes,No,41,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,44.46,1816.02,Yes
CUST-00081,Male,1,No,No,22,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,40.27,880.38,No
CUST-00082,Female,0,No,No,21,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),48.29,1012.7,No
CUST-00083,Male,1,Yes,Yes,28,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,60.18,1684.7,Yes
CUST-00084,Female,0,Yes,No,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,29.94,2010.3,No
CUST-00085,Male,0,Yes,No,71,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,No,Credit card (automatic),43.48,3086.31,No
CUST-00086,Male,1,No,Yes,14,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,27.02,382.8,No
CUST-00087,Female,0,No,No,52,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),41.28,2147.11,No
CUST-00088,Male,0,Yes,No,43,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,42.27,1814.67,No
CUST-00089,Female,0,No,No,71,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),39.56,2805.44,No
CUST-00090,Female,0,No,No,19,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,46.45,881.17,No
CUST-00091,Female,0,Yes,No,27,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),58.45,1577.8,Yes
CUST-00092,Female,0,Yes,No,18,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),44.46,797.85,No
CUST-00093,Female,1,Yes,Yes,13,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),62.94,816.04,No
CUST-00094,Female,1,Yes,Yes,1,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,46.7,45.99,No
CUST-00095,Female,0,Yes,Yes,34,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),63.91,2172.82,Yes
CUST-00096,Female,0,Yes,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),26.29,338.18,No
CUST-00097,Female,0,Yes,No,51,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,75.53,3847.41,No
CUST-00098,Female,0,Yes,No,1,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,No,Credit card (automatic),50.42,48.48,No
CUST-00099,Female,1,Yes,No,28,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,No,Mailed check,41.82,1165.06,No
CUST-00100,Male,0,Yes,No,32,No,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,38.7,1241.31,No
CUST-00101,Male,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,66.59,4800.21,No
CUST-00102,Female,0,No,No,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,28.46,1558.97,No
CUST-00103,Female,0,Yes,Yes,26,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,53.99,1402.54,Yes
CUST-00104,Female,0,No,No,14,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),65.36,911.56,Yes
CUST-00105,Female,0,No,No,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),32.22,2191.36,No
CUST-00106,Female,0,No,Yes,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,28.15,1771.67,No
CUST-00107,Female,0,No,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),29.96,425.04,No
CUST-00108,Female,0,No,No,27,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),54.95,1486.28,No
CUST-00109,Female,0,No,Yes,41,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,45.56,1865.78,Yes
CUST-00110,Male,0,Yes,Yes,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),37.62,111.71,No
CUST-00111,Female,0,Yes,Yes,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),27.79,1632.66,No
CUST-00112,Male,0,No,No,23,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),65.27,1501.42,No
CUST-00113,Female,0,No,No,18,Yes,No,DSL,Yes,No,No,Yes,No,Yes,One year,No,Bank transfer (automatic),33.34,603.46,No
CUST-00114,Female,0,Yes,No,41,No,No phone service,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Electronic check,54.96,2249.16,No
CUST-00115,Male,0,No,No,8,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,39.64,310.62,No
CUST-00116,Female,1,No,No,32,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,62.27,1997.79,No
CUST-00117,Male,1,No,No,41,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),70.73,2901.03,Yes
CUST-00118,Female,0,No,No,45,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,65.23,2936.1,No
CUST-00119,Female,1,No,No,9,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),49.27,444.38,No
CUST-00120,Male,0,Yes,No,48,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),54.23,2597.23,No
CUST-00121,Female,0,Yes,No,24,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),65.73,1576.33,Yes
CUST-00122,Male,0,No,No,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,34.32,1518.81,No
CUST-00123,Female,0,Yes,No,58,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),46.38,2685.7,Yes
CUST-00124,Male,0,No,Yes,66,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),66.0,4353.18,Yes
CUST-00125,Male,0,No,Yes,18,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Mailed check,56.35,1019.05,No
CUST-00126,Female,0,No,No,29,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,63.99,1861.2,No
CUST-00127,Female,0,No,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,21.47,37.19,No
CUST-00128,Male,0,No,No,68,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),60.01,4081.02,No
CUST-00129,Female,1,No,No,39,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,54.53,2133.22,Yes
CUST-00130,Female,0,No,Yes,41,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,72.19,2959.51,Yes
CUST-00131,Female,0,No,Yes,71,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,57.57,4086.08,No
CUST-00132,Male,0,No,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,36.24,797.17,No
CUST-00133,Male,0,Yes,Yes,49,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),55.47,2724.72,No
CUST-00134,Male,0,No,No,28,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),40.94,1146.51,No
CUST-00135,Male,0,Yes,No,16,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),55.31,878.21,No
CUST-00136,Male,0,Yes,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),28.29,1925.3,No
CUST-00137,Male,0,No,No,62,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),39.24,2439.84,No
CUST-00138,Male,0,Yes,No,36,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),53.18,1910.68,Yes
CUST-00139,Male,0,No,No,22,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,No,Credit card (automatic),43.21,944.87,No
CUST-00140,Male,0,No,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.46,267.63,No
CUST-00141,Female,0,No,No,42,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,No,Mailed check,67.57,2841.04,No
CUST-00142,Male,0,No,Yes,55,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),70.55,3875.89,Yes
CUST-00143,Female,0,Yes,Yes,35,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Two year,No,Electronic check,32.41,1133.76,No
CUST-00144,Female,1,Yes,Yes,57,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,61.73,3519.72,Yes
CUST-00145,Female,1,No,Yes,34,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),53.49,1822.45,No
CUST-00146,Male,1,Yes,No,70,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),61.59,4299.72,No
CUST-00147,Male,0,Yes,Yes,4,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,No,Mailed check,48.89,195.0,No
CUST-00148,Male,0,Yes,No,46,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,67.67,3112.46,No
CUST-00149,Male,0,No,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,34.91,379.51,No
CUST-00150,Female,0,Yes,No,61,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Two year,No,Electronic check,36.94,2258.47,No
CUST-00151,Male,0,Yes,No,35,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),45.25,1591.52,Yes
CUST-00152,Male,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.59,1698.07,No
CUST-00153,Male,1,No,No,57,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,54.58,3111.22,No
CUST-00154,Male,0,Yes,Yes,11,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),48.47,528.31,Yes
CUST-00155,Male,1,Yes,No,12,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,42.47,507.45,No
CUST-00156,Female,0,No,No,43,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,59.82,2577.48,Yes
CUST-00157,Male,0,Yes,No,19,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,39.8,759.74,No
CUST-00158,Female,0,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),27.76,1887.93,No
CUST-00159,Male,0,No,No,59,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,64.65,3811.13,Yes
CUST-00160,Female,0,No,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),28.14,63.5,Yes
CUST-00161,Male,0,No,Yes,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),34.73,275.62,No
CUST-00162,Male,0,No,No,22,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),57.27,1256.47,Yes
CUST-00163,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.96,1252.98,No
CUST-00164,Female,1,Yes,No,29,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,61.33,1779.56,No
CUST-00165,Female,0,No,Yes,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,25.69,957.32,No
CUST-00166,Male,1,Yes,No,29,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,58.02,1676.21,No
CUST-00167,Female,0,Yes,No,37,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,44.81,1662.16,No
CUST-00168,Male,0,No,No,21,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,48.01,1002.65,No
CUST-00169,Male,0,Yes,No,12,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),45.03,542.78,No
CUST-00170,Female,0,Yes,No,48,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),41.08,1966.61,No
CUST-00171,Female,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),66.32,3111.8,No
CUST-00172,Male,0,No,No,15,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),44.02,659.84,No
CUST-00173,Male,0,Yes,Yes,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,36.92,2472.14,No
